,text,grade,date
11,"UN SCANDALE
Vendredi j'ai reçu ma facture de régularisation 340 euros ces FDP on changé mon contrat au mois de mars dernier. Le seul courrier que j'ai reçu était une lettre m'annonçant que mon électricité devenait verte comment c'est le même câble qui arrive chez moi? Mais pendant ce temps là sur un an jusqu'au 31/01/22 j'ai payé 9 cts le kWh du 01/02/22 au 31/03/22 13 cts, 3 centimes d'augmentation j'aurais rien dit mais du 31/03/22 au 11/01/2023 le KWh est passé à 27 cts plus du double le tout pour une diminution de consommation de 100 KWh, sans leur augmentation j'étais dans le bon budget. Mais ces ESCROCS font tout pour faire des factures astronomique afin que leurs clients se sauvent.
Date de l'expérience: 13 janvier 2023",1,Actualisé le 16 janv. 2023
12,"Des voleurs j’ai bénéficié d’un tarif…
Des voleurs j’ai bénéficié d’un tarif de 3 ans je payait tout les 2 mois environ 56euros
En décembre 2022 je reçoit une facture de 2 mois de 250 euros
Alors que je me chauffe en gaz
Quand tu l’es appelle il te disent que c’est le nouveau grille tarifaire
Comment m’expliquer que en 2 mois ma facture à triplées ?
Des voleurs à éviter j’en suis parti le jour même
Date de l'expérience: 02 janvier 2023",1,2 janv. 2023
13,"Démarchage frauduleux
Démarchage frauduleux. Ils vous cueillent au réveil en vous vendant soit-disant un contrat qui vous coûtera 3fois moins cher qu'ailleurs mais vous ajoute 2 assurances et comme ""cadeau"" de bienvenu 2abonnements payant à des magazines avec le premier mois offert tout de même. Je me suis rétractée à temps pour le contrat ENI, une des assurances et les magazines, cependant une des assurances est passée à la trappe : le problème quand tous les documents ne sont pas dans le même mail.. Une arnaque totale, je ne me ferai plus avoir..
Date de l'expérience: 12 décembre 2022",1,4 janv. 2023
14,"une entreprise d'escroc qui envoie des…
une entreprise d'escroc qui envoie des employés faire du porte a porte pour proposer des contrats à pas chère mais c'est faux ! attention a éviter ENI !!!

VIVE EDF !!! ( des professionnels eux )
Date de l'expérience: 05 septembre 2022",1,6 janv. 2023
15,"A fuir!!!!
A fuir!!!!
Quelle fut ma surprise en recevant un mail avec le nouveau tarif et voyant ma facture triplé cette entreprise est une profiteuse de crise des escrocs !!! Et ils tiennent les gens en otage avec des régularisations enormissime a payé pour une famille de 4 personnes si on a le malheur de vouloir partir je ne recommande absolument pas passer votre chemin
Date de l'expérience: 21 décembre 2022",1,21 déc. 2022
16,"A fuir comme la peste
A fuir comme la peste. On m’a fait miroiter en début de contrat des tarifs défiant toute concurrence, puis je suis passée de 112€ mensuels à 183€ mensuels.
Suite à cette augmentation pour un 37m2, j’ai reçu une régularisation de 950€ ??? J’ai de suite résilié mon contrat et là on me demande pour ma résiliation et pour 2 mois de consommation 781€ ???
Honteux !!!??? On m’explique que le kva a augmenté pour les heures creuses et les heures pleines seulement en 2 mois ???
Ce sont des escrocs, passez votre chemin 😡😡😡
Date de l'expérience: 20 décembre 2022",1,20 déc. 2022
17,"service client inqualifiable!
Plus d'une heure passée à essayer de joindre le service client sans résultat ! Après avoir eu la musique un long moment, si on ne vous raccroche pas au nez et après avoir exposé votre problème, vous êtes dirigé sur une enquête de satisfaction et un raccrochage ??? 2ᵉ essais, impossible de se comprendre et raccrochage de leur part! 3ᵉ essais musique et raccrochage de leur part et là j'abandonne ! je précise être resté courtois.
Date de l'expérience: 09 décembre 2022",1,9 déc. 2022
18,"attention aux contrats ENI .le prix du…
attention aux contrats ENI .le prix du KWh a été multiplié par 7 (de 0.09471 €/kwh au 1/10/2022 à 0.61640 €/kwh après cette date...SANS AUCUNE INFORMATION AU CLIENT...!!!
Date de l'expérience: 04 janvier 2023",1,4 janv. 2023
19,"ENTREPRISE A FUIR
ENTREPRISE A FUIR !
Nous avons été prélevé suite à une erreur de RIB ........ Nous payons les factures depuis 4 mois d'une personne qui n'est pas nous, depuis 2 semaines on me balade de service en service. Une plainte va être déposé contre cette entreprise.
Date de l'expérience: 19 décembre 2022",1,19 déc. 2022
20,"Une honte du vol
Une honte du vol
Aucune gestion après une erreur de branchement, des prélèvements mensuels aléatoires, des remboursements qui laissent penser que votre consommation est inférieure à celle prévue sur échéancier…..des factures de régularisations pour 4000 euros adressées 5 mois après la clôture de l abonnement au profit d un autre fournisseur
Aucune alerte éventuelle indiquant une surconsommation
Une honte, a fuir
Date de l'expérience: 28 novembre 2022",1,29 nov. 2022
21,"Je ne recommande pas du tout
Je ne recommande pas du tout, en plus de payer plus cher mes mensualités que les autres fournisseurs, leurs régularisations sont énormément abusives, sans parler de leurs façons de vous prélever doublement et de mettre 1mois voire plus a vous rendre votre argent qu’ils ont clairement voler!!!
Ne souscrivez pas chez eux !!!!!
C’est des voleurs !
Date de l'expérience: 01 novembre 2022",1,22 nov. 2022
22,"4 ans chez ENI et c’est déjà bien trop
4 ans chez ENI et c’est déjà bien trop! La dernière en date: notre facture d’électricité reçue hier matin. Pour la période de mi octobre à mi décembre. De mi octobre à mi novembre nous payons 43€ HT, de mi novembre à mi décembre nous sommes à 393€ HT, pour juste 1/3 de consommation en plus! Le kWh passe de 0.09€ à 0.61HT! Sachant que nous chauffons la maison au gaz.
Ce sont des voleurs, au tel quand on leur demande comment c’est possible une telle augmentation du kWh ils se réfugient derrière leur nouvelle grille tarifaire.
L’après-midi même on changeait de fournisseur. Depuis aujourd’hui nous voilà chez un concurrent dont le prix est entre 0.13 et 0.17 (selon heures creuses ou pas). Et au vu des différents commentaires, nous allons bloquer les prélèvements pour éviter tout prélèvement abusif de leur part.
ENI: A FUIR!!!!!
Date de l'expérience: 27 décembre 2022",1,27 déc. 2022
23,"ENI les profiteur de crise est volé sur les cadavres
Bonjour ENI jamais vue sa les suceurs de sang j ai déménagé dans une maison j ai même pas mi les pieds dedans qu'il on commencé à me pompé du fric autant vivre a hôtel il me demande sans avoir mi les pieds dans nouvelle demeure pour 20 jours sans chauffage c'est en novembre juste 1 douche par semaine 300 euro c'est la maison je me douche tout les jours au boulot c'est moi qui fait des économies est c est eni qui ramasse bonjour les économies jamais vue sa je travaille juste pour énergie c est du r dur la vie chez eni
Date de l'expérience: 25 novembre 2022",1,25 nov. 2022
24,"Une mauvaise expérience de plus ici
Une mauvaise expérience de plus ici. Prix du kWh monté à 34cts, j'appelle et tout semble normal pour eux et aucun scrupule. J'ai raccroché et changé de suite de fournisseur. Je paye désormais 19 cts HP et 15HC.
A FUIR !
Date de l'expérience: 09 décembre 2022",1,11 déc. 2022
25,"Voleur
Voleur, escrot, charlatan ... Passage de 0.16€ klw a 0.63€ klw au mois d'octobre sans aucun mail ni lettre histoire de bien nous mettre dans la m..... Service téléphonique au Maghreb donc autant pas appelé Fuyez fuyez et quand ont leurs dit ''eh 5000 euros annuel pour 8000klw y a pas un problème ?'' la réponse '' non monsieur tous va bien c'est normal'' haha ENI en justice
Date de l'expérience: 09 novembre 2022",1,9 nov. 2022
26,"Des voleurs ou des escrocs : fuyez les
Des voleurs ou des escrocs : quel terme choisir.
électricité + gaz via un plan ""Astucio+"" chez eux et 3 ans (10 octobre 2019 au 9 octobre 2022)
- prix du kWh électricité à 0,09471€ au 10 octobre 2019 versus prix du kWh électricité à 0,61640€ dès le 10 octobre 2022 => +550% d'augmentation en 3 ans !!!!!!!!
- prix du kWh gaz à 0,03315€ au 10 octobre 2019 versus prix du kWh gaz à
- on reçoit un sms de leur part si facture trop importante constatée de leur part : le numéro d'appel n'est pas le bon. Quand on arrive à les appeler pour une étalement sur 2 mois : il sont Ok mais vous demandent de payer une première fois par CB (en tout 20 à 25 minutes pour tout réaliser - le 15 décembre 2022) et la facture est partiellement payée de la moitié. Quand, pour éviter de perdre trop de temps, je paye le reliquat par le biais de mon espace client ENI : la transaction est bien débitée le 12 janvier à 19h09 (preuve à l'appuie) mais leur système met plus de 4 jours pour indiquer que la facture est totalement payée : rapidité et efficacité sans faille !!! (dégoûté). J'ai vécu l'escroquerie ""Alice"" il y a une quinzaine d'année, à croire qu'ENI est de la même famille. je vais les quitter dans les plus brefs délais car c'est de l'arnaque. J'ai prévenu UFC Que choisir et donnée le dossier à mon avocat. Mais une action collective serait bien mieux...
Date de l'expérience: 12 janvier 2023",1,18 janv. 2023
